"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2023-01-01","3.80",,"0.16","0.0","0.0","40","45","37","  240","  220","12.1","14.1","    1","    1",,,,,,"    1",,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2023-01-02","6.49",,"0.00","0.0","0.0","38","43","32","   50","   60","15.0","19.9","    1","    1",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2023-01-03","7.61",,"1.12","0.0","0.0","41","48","39","   60","   50","17.0","21.9","    1","    1","    1",,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2023-01-04","8.28",,"0.00","0.0","0.0","39","44","33","  230","  240","15.0","21.0","    1",,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2023-01-05","8.50",,"0.02","0.2","0.0","33","34","32","  250","  240","15.0","21.0","    1",,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2023-01-06","6.93",,"0.00","0.0","0.0","31","34","25","  230","  230","14.1","18.1","    1",,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2023-01-07","5.82",,"0.00","0.0","0.0","29","32","27","   50","   50","13.0","18.1",,,,,,,,"    1",,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2023-01-08","4.92",,"0.00","0.0","0.0","30","33","26","  280","  300","13.0","19.0","    1",,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2023-01-09","8.50",,"0.00","0.0","0.0","31","44","25","  210","  220","15.0","23.0","    1",,,,,,,"    1",,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2023-01-10","4.92",,"0.00","0.0","0.0","40","50","34","  160","  160","12.1","16.1",,,,,,,,"    1",,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2023-01-11","3.36",,"0.00","0.0","0.0","43","57","38","  150","  160","15.0","19.0","    1",,,,,,,"    1",,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2023-01-12","14.32",,"0.00","0.0","0.0","40","43","36","  360","  360","28.0","35.1","    1","    1",,,,,,"    1",,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2023-01-13","14.32",,"0.02","0.2","0.0","33","36","26","  360","   10","23.0","30.0","    1",,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2023-01-14","7.38",,"0.00","0.0","0.0","27","31","24","  170","  160","14.1","18.1",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2023-01-15","12.97",,"0.00","0.0","0.0","31","44","26","  160","  160","21.0","30.0",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2023-01-16","13.87",,"0.18","0.0","0.0","42","52","40","  240","  240","21.0","32.0","    1",,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2023-01-17","14.76",,"0.00","0.0","0.0","44","49","37","  250","  240","23.9","34.0","    1",,,,,,,"    1",,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2023-01-18","10.74",,"0.24","0.0","0.0","38","41","36","  100","   90","28.0","38.9","    1",,,"    1",,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2023-01-19","8.72",,"0.14","0.0","0.0","39","42","34","  280","  290","19.9","29.1","    1",,,,,,,"    1",,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2023-01-20","10.74",,"0.00","0.0","0.0","34","35","29","  300","  280","17.0","25.1","    1",,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2023-01-21","7.83",,"0.00","0.0","0.0","30","32","28","  200","  210","15.0","19.0",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2023-01-22","4.92",,"0.13","1.5","1.2","31","34","26","  350","   50","13.0","17.0","    1",,,,,,,,,
